Store Name,Street Address,Address,Borough,"Zip 
Code",Year Awarded,"Program 
Wave",Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
New Friends Gourmet Deli,1788,Pitkin Ave,Brooklyn,11212,2017,5,40.670222,-73.907074,16,41,906,3397503,3035250017,Brownsville
Yoha Mini Market,78,Thatford Ave,Brooklyn,11212,2017,5,40.670019,-73.909865,16,41,906,3326574,3034890228,Brownsville
Pitikin Ave Deli & Grocery,1801,Pitkin Ave,Brooklyn,11212,2017,5,40.670326,-73.906487,16,37,908,3083739,3037090032,Brownsville
Ideal Food Basket,1488,Pitkin Ave,Brooklyn,11212,2017,5,40.668494,-73.91872,16,41,900,3080901,3035130033,Brownsville
Caba Deli Grocery,1419,E New York Ave,Brooklyn,11212,2017,5,40.67024,-73.915567,16,41,361,3039487,3014720025,Ocean Hill
El Cibao,38,Herzl St,Brooklyn,11212,2017,5,40.669062,-73.915457,16,41,902,3326460,3034940028,Brownsville
Shop Fair Supermarket,256,Livonia Ave,Brooklyn,11212,2017,5,40.662618,-73.908433,16,42,918,3082153,3035900016,Brownsville
Food Bazaar,417,Junius St,Brooklyn,11212,2017,5,40.664415,-73.901629,16,42,910,3084597,3037980025,Brownsville
Pioneer Supermarket,455,Sutter Ave,Brooklyn,11212,2017,5,40.668324,-73.90233,16,42,908,3394366,3037470001,Brownsville
Airon Food Market,44,New Lots Ave,Brooklyn,11212,2017,5,40.657215,-73.903452,16,42,920,3085891,3038600001,Brownsville
Giselle Mini Market,1697,E New York Ave,Brooklyn,11212,2017,5,40.674615,-73.905514,16,37,36502,3038833,3014440041,Ocean Hill
Powell Supermarket,323,Powell St,Brooklyn,11212,2017,5,40.666434,-73.90314,16,42,910,3084420,3037800020,Brownsville
Green Village Meat Farm,229,Tapscott St,Brooklyn,11212,2017,5,40.662211,-73.919589,16,41,892,3394445,3035650015,Brownsville
Anabelle Deli Grocery,2121,2nd Ave,New York,10029,2017,5,40.792729,-73.940913,11,8,180,1052437,1016590021,East Harlem North
Cherry Gourmet Deli,1575,Lexington Ave,New York,10029,2017,5,40.78874,-73.948825,11,8,166,1051813,1016280050,East Harlem South
Cherry Valley Supermarket,1968,2nd Ave,New York,10029,2017,5,40.787585,-73.944655,11,8,164,1081358,1016730001,East Harlem South
Dave’s Gourmet,1944,1st Ave,New York,10029,2017,5,40.786124,-73.942594,11,8,162,1083932,1016940007,East Harlem South
Family 1st Deli,2105,1st Ave,New York,10029,2017,5,40.791007,-73.939069,11,8,170,1052807,1016800023,East Harlem South
Gold Deli,126,E 103rd St.,New York,10029,2017,5,40.790581,-73.948343,11,8,166,1051901,1016300061,East Harlem South
L&O Deli Grocery,1618,Madison Ave,New York,10029,2017,5,40.795008,-73.948495,11,9,17401,1051581,1016140014,East Harlem South
La Constenita Grocery,2175,2nd Ave,New York,10029,2017,5,40.794249,-73.939799,11,8,180,1052504,1016610027,East Harlem North
Luna Food Market,2121,1st Ave,New York,10029,2017,5,40.791658,-73.938591,11,8,180,1052837,1016810023,East Harlem North
Lucky Corner Deli & Pro,2137,2nd Ave,New York,10029,2017,5,40.793056,-73.94067,11,8,180,1052444,1016590028,East Harlem North
Mr. Moe’s Deli,2001,3rd Ave,New York,10029,2017,5,40.793985,-73.942905,11,8,180,1052445,1016590045,East Harlem North
.NYC Fresh Market,1660,Madison Ave,New York,10029,2017,5,40.796457,-73.947439,11,9,17402,1085254,1016160001,East Harlem South
Puchito Grocery,2122,2nd Ave,New York,10029,2017,5,40.792642,-73.940956,11,8,180,1052825,1016810001,East Harlem North
Raspberry Deli,2127,2nd Ave,New York,10029,2017,5,40.792853,-73.940822,11,8,180,1052439,1016590023,East Harlem North
East Harlem Grocery,85 E,110th St.,New York,10029,2017,5,40.795771,-73.946725,11,8,17402,1051617,1016160035,East Harlem South
Sun & Moon Deli,142,E 112th St.,New York,10029,2017,5,40.796145,-73.943676,11,8,172,1087212,1016390057,East Harlem South
Garden Gourmet,2019,1st Ave,New York,10029,2017,5,40.788417,-73.94096,11,8,170,1087780,1016767504,East Harlem South
2037 Meat & Grocery,2037,2nd Ave,New York,10029,2017,5,40.789717,-73.943111,11,8,170,1052391,1016540027,East Harlem South
Oxford 2 Deli Grocery,2024,2nd Ave,New York,10029,2017,5,40.789379,-73.943332,11,8,170,1052702,1016760001,East Harlem South
Fine Fare Supermarket,1891,3rd Ave,New York,10029,2017,5,40.790544,-73.94541100000001,11,8,170,1052399,1016540045,East Harlem South
Asunan Inc.,1665,Lexington Ave,New York,10029,2017,5,40.79131,-73.946949,11,8,166,1051980,1016320053,East Harlem South
1705 Deli Grocery,1705,Lexington Ave,New York,10029,2017,5,40.792765,-73.945886,11,8,172,1052050,1016340049,East Harlem South
Lex & 103rd Inc.,1629,Lexington Ave,New York,10029,2017,5,40.790216,-73.947744,11,8,166,1051897,1016300053,East Harlem South
Ranch Market,1635,Lexington Ave,New York,10029,2017,5,40.790501,-73.947538,11,8,166,1089312,1016317501,East Harlem South
Uptown Supermarket,1588,Madison Ave,New York,10029,2017,5,40.793982,-73.949243,11,9,17401,1051514,1016120001,East Harlem South
El Tepeyac,1621,Lexington Ave,New York,10029,2017,5,40.789922,-73.947961,11,8,166,1051884,1016300021,East Harlem South
Super Fi Emporium,1635,Lexington Ave,New York,10029,2017,5,40.790501,-73.947538,11,8,166,1089312,1016317501,East Harlem South
Manhattan Haat Baazar,165,East 106th St.,New York,10029,2017,5,40.791966,-73.945594,11,8,172,1052032,1016340031,East Harlem South
Cappellan Deli Grocery,1626,Park Ave,New York,10029,2017,5,40.798843,-73.943587,11,8,184,1051645,1016210035,East Harlem North
Third Avenue Gourmet,2105,Third Ave,New York,10029,2017,5,40.797447,-73.94037,11,8,188,1052515,1016650001,East Harlem North
Cherry Valley Supermarket,309,East 115th St.,New York,10029,2017,5,40.796167,-73.937941,11,8,188,1052901,1016870005,East Harlem North
El Barrio Superette,1858,Lexington Ave,New York,10029,2017,5,40.798118,-73.942006,11,8,182,1052235,1016430015,East Harlem North
New King Deli Grocery Corp.,23,East 115th St.,New York,10029,2017,5,40.799415,-73.945645,11,9,184,1074184,1016210013,East Harlem North
Little Mexico Meat Grocery,2119,Third Ave,New York,10029,2017,5,40.797752,-73.94015,11,8,188,1052552,1016650050,East Harlem North
Paniagua Deli Grocery,203,East 115th St.,New York,10029,2017,5,40.797233,-73.940432,11,8,188,1052555,1016650104,East Harlem North
JJ Food Market,153,East 99th St.,New York,10029,2017,5,40.787686,-73.94923,11,5,166,1051758,1016270023,East Harlem South
